Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,109957321960.084,114724862033.977,115979230546.565,117189920211.61,132339311284.428,130706147870.747,121069378150.196,126864966908.939,135445033199.465,142462925574.348,153966916311.325,178706717752.732,215840354626.533,207419370241.335,233609522091.468,261628548084.179,257296579579.346,292489185194.417,308416982140.362,299093839689.55,317747542489.389,350850537827.281,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,8100201000000,8608515000000,9089168000000,9660624000000,10284779000000,10621824000000,10977514000000,11510670000000,12274928000000,13093726000000,13855888000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16155255000000,16691517000000,17427609000000,18120714000000,18624475000000,19390604000000,..
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,44558077827.135,50150399791.647,41883241471.7365,31580639045.454,31261527363.144,37972301334.6736,42351593887.2827,50084197498.4529,64819702951.6826,86057915585.3026,107647920792.079,142579603960.396,179816790704.739,117113410001.027,136013155905.036,163159671670.265,175781379051.433,183310146378.081,133503411375.739,91030959454.6961,93355993628.5042,112154185121.406,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,554860945013.62,637430331479.469,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,145861612825.595,143157600024.959,144428172835.236,142540728958.023,130133845771.144,136191353467.562,153830947016.751,201924270316.027,240521260988.329,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.376,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.144,192690813126.86,200288277129.038,..
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,3677439129776.6,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Israel,ISR,2.59456631131631,1.10360691784388,1.81145668931487,1.01064064790613,5.34829735287514,-2.30484823150175,-1.83530875596719,-1.0354859883342,2.73755686911043,2.31376694934073,3.36724164465576,3.91149330012817,1.17488208203038,-1.01289274796021,3.31917404498773,2.74143578402335,0.0777607231893285,2.18640030530715,1.44406383383027,1.01655537415223,2.07359486192064,1.35801106900593,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,2.59530524810896,3.23658668253634,3.23939248122606,3.48993353202123,2.94029177499525,-0.018489777756713,0.8461259531976,1.92695687570385,2.82965348869607,2.39704601602841,1.6814164585622,0.815188220500147,-1.23028216873425,-3.62412411472206,1.68111014805687,0.849704540334812,1.45929016640869,0.9567188606119,1.80045545903454,2.08707643757423,0.742794633785053,1.5469978828973,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ukraine,UKR,-9.19776426950584,-2.11216639532238,-1.01930960599535,0.745472417875391,6.97136864787721,10.3035390057843,6.25055954758369,10.2913227587502,12.9536558393461,3.45534020859478,8.02790466675951,8.54587864243189,2.85541816564958,-14.420928808479,4.61479464731825,5.84534174594795,0.486676586685419,0.201173610668206,-1.14453180874146,-9.44424313455637,2.72093207833255,2.95168887968045,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,4.26087062376475,6.8611433276325,2.68214197035334,-4.45704657689522,-1.88501051746583,-5.46511390595744,-11.8771804942886,7.64379418460412,7.84910614558494,7.69268851986895,6.91802708554957,7.88585198132516,2.99516742225612,-6.88014857518392,8.99143795986308,4.90212524432248,-2.0605746367528,1.33845293358164,-3.51419598172089,1.69894482424465,-2.78459211069379,1.87029494383506,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Greece,GRC,2.40984303426868,3.97008194981687,3.3206994704901,2.67809970031523,3.4955636151947,3.59165280151241,3.54262280612636,5.54236084913713,4.80137873327024,0.304568131642483,5.3356018747444,3.0109840030978,-0.599389804367405,-4.55211725544798,-5.600777666962,-8.99795501594129,-6.79786084430782,-2.53725852220521,1.41305808475241,0.368211359373618,0.171446153123696,1.4977922822242,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Germany,DEU,0.526477107366105,1.70029072614157,1.96417613897277,1.9212372937244,2.82269660443546,1.52453769484924,-0.167987062923132,-0.764861234086325,1.19193652221034,0.763909705673285,3.81719675220205,3.39870617015168,1.27469903780695,-5.37941105028064,4.23950434523579,5.59948142845823,0.303518386068347,0.2157220462623,1.50565308013002,0.866213323405802,1.12402999800132,1.79471020042621,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,5.31438619369024,3.66139317859044,4.16658805550018,3.6158388826704,8.16905176362968,0.0252953152107125,0.16182970543494,0.767566116261904,4.56971534176014,4.13344637033724,5.21082125639001,5.77355331871927,2.98839544869065,1.38160711004119,5.22390392879242,4.65783120987047,1.94250768765474,4.11115520645002,3.41013651462241,3.03794389899012,4.09433559145759,3.33156279400973,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,3.79588122942587,4.48702649316731,4.44991096328404,4.68519960839866,4.09217644881066,0.975981833932124,1.78612768745552,2.80677595648093,3.78574284969444,3.34521606334877,2.666625826122,1.77857023965289,-0.291621458693953,-2.77552957416808,2.53192061616315,1.60145467247139,2.22403085385714,1.67733152992453,2.56919359418927,2.86158702527237,1.48527919319147,2.27333854830167,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,-9.99999997448387,-3.00000002707544,-1.89999998428991,-0.1999999974377,5.89999999959699,9.20369481605906,5.24929945234017,9.51595496799196,12.1087551720856,2.99735903183145,7.43990240080066,7.59346964859691,2.30402877854763,-14.7585453597198,3.83438769855928,5.46553190543162,0.23868130555249,-0.0267296493157545,-6.55261889108043,-9.77297394655352,2.44099473810617,2.52451286360788,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,5.52668982715234,8.1110467707457,3.85017885156229,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-1.82254217028903,2.85446613725399,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,2.86212884645293,4.4841991477097,3.89490477247428,3.07259666389747,3.91977077200825,4.13161207641278,3.92287184229497,5.79453126444159,5.06099256477832,0.599142055474161,5.6524337201578,3.27374685710487,-0.335172557312063,-4.3007336666282,-5.4790371077553,-9.13249415322949,-7.30049393532073,-3.24142502506591,0.739777123496509,-0.290902296942548,-0.24431474084669,1.35132838862349,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,0.817897617014211,1.84920066980847,1.97961840703675,1.98713494928661,2.96204536784524,1.69547145188611,0,-0.709906171880789,1.16997041286515,0.70671394810023,3.70015957205484,3.26053529682157,1.08231540391905,-5.61886043465857,4.07993330487069,3.66000015503516,0.491992829138056,0.489584482494635,1.92969040980758,1.74320539365993,1.94362542781317,2.2228247553612,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,19317.871040071,19658.1326309076,19423.753231714,19133.0481978138,21042.9816003225,20299.1377342362,18427.607024383,18964.2236436521,19892.0595093941,20557.124078202,21827.8231724236,24889.1683615454,29531.5721632187,27709.1175378506,30642.9406174863,33689.8385335933,32525.9565867323,36291.2321104804,37539.9518166878,35690.9630779526,37180.8498115363,40270.2513460448,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,30068.2309182833,31572.6902298492,32949.1977640346,34620.9288990826,36449.8551155349,37273.6181034176,38166.0378407812,39677.1983481058,41921.8097617892,44307.9205848603,46437.0671173065,48061.5376613353,48401.4273403899,47001.5553496818,48375.4069462972,49793.7135249201,51450.9591148182,52782.086508871,54696.7261652327,56443.8172422582,57588.538070583,59531.661964344,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,872.709166413349,991.230131526222,835.260327408976,635.772728491871,635.712846663659,780.738024325078,879.475048622777,1048.52248790763,1367.35243333629,1828.71762576598,2303.01883093184,3068.60899799696,3891.03782318207,2545.4803410735,2965.14236549771,3569.75702740477,3855.4212801318,4029.71550372131,3104.65829575449,2124.66266591114,2185.72803066435,2639.82432586795,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,7683.57406483774,8172.66432306173,8248.76198864344,7736.36962254054,7669.27391554066,7170.69467365192,2579.19316821209,3330.43700583548,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.3549989958,14398.3587709055,..
